,HABIT in Images-TRAITS,,,,,,,,,,,,,,,,,DEPENDS ON leaf_type = simple,DEPENDS ON leaf_type = simple,DEPENDS ON leaf_type = pinnately compound OR palmately compound,DEPENDS ON leaf_type = pinnately compound OR palmately compound OR trifoliate,,,DEPENDS ON leaf_type = simple,DEPENDS ON leaf_type = simple,DEPENDS ON leaf_type = simple,DEPENDS ON leaf_type = simple,,,DEPENDS ON Are_flowers_present = YES,DEPENDS ON Are_flowers_present = YES AND flower_type = showy/petals present,DEPENDS ON Are_flowers_present = YES,DEPENDS ON Are_flowers_present = YES AND flower_type = showy/petals present,DEPENDS ON Are_flowers_present = YES and flower_type = showy/petals present,,,,,,,,,DEPENDS on thorns = no thorns,,,DEPENDS ON leaf_arrangment = OPPOSITE,DEPENDS ON leaf_arrangement opposite AND pith_type = solid
"Prairie, Forest, Disturbed area",broadleaf shrub,Amelanchier sanguinea,New England serviceberry,"round-leaved serviceberry, red-twigged shadbush",Rosaceae,WI,"Dry, sandy substrates.",Coming soon!,"May, June",Ornamental,"Shrub usually found in clumps. Leaves are simple, alternate, with coarsely toothed leaf margins.","Amelanchier spicata is a low-growing, colony forming shrub that has finely toothed leaves and shorter petals (up to 9 mm). ",Native,alternate,simple,"Sprawling or arching, Upright",no thorns,orbicular,elliptic,,,finely toothed,coarsely toothed,rounded,obtuse,rounded,cordate,No,"Yes, No",Showy / Colorful,white or cream,raceme,radial,5,pome,purple-black,"glabrous - matte, hairy","glabrous - matte, hairy",pinnate,yellow,,none of these features,hairless,,No,,
"Prairie, Forest, Disturbed area",broadleaf shrub,Amelanchier spicata,dwarf serviceberry,thicket shadbush,Rosaceae,WI,Found in sandy substrates. ,Coming soon!,May,Ornamental,"Shrub that spreads by underground runners. Leaves are simple, alternate, and finely serrate; flower petals to 9 mm long. ",Amelanchier sanguinea has coarsely toothed leaves and is usually solitary or multi-stemmed.,Native,alternate,simple,"Upright, Sprawling or arching",no thorns,ovate,"obovate, elliptic",,,finely toothed,,acute,obtuse,rounded,cordate,No,"Yes, No",Showy / Colorful,white or cream,raceme,radial,5,pome,purple-black,"glabrous - matte, hairy, glabrous - glossy","glabrous - matte, hairy",pinnate,yellow,"orange, red",none of these features,hairless,"hairy, fuzzy",No,,
Prairie,broadleaf shrub,Amorpha fruticosa,false indigo-bush,"desert indigo-bush, false indigo,",Fabaceae,WI,"Wet areas in meadows, shorelines of streams and rivers (St. Croix, Wisconsin, and Mississippi), and ditches. ","Highly branched shrub to 3 m tall. Main stem is glabrous, twigs are tan or gray. Leaves are pinnately compound with up to 27 leaflets. Leaflets are oval to obovate with rounded base and tip; margins are entire; leaf upper surface is glabrous while the underside has short hairs. Stipules are absent. Inflorescence is a raceme of dark purple, 1 petaled flowers; each with 10 stamens. Fruit is an oblong pod (5-8 mm long) containing 2 seeds. ","June, July","Native to the midwest, but usecd as an ornamental in other parts of the country. Since it is a legume, it can also fix nitrogen. ","Woody shrub with pinnately compound leaves (9-27 leaflets), dark purple flowers, and 1-2 seeded pods. ","Amorpha canescens is only woody near the base of stems, is shorter (<1 m tall), and smaller (3-4 mm long) seed pods with 1 seed.",Native,alternate,pinnately compound,Upright,no thorns,,,"7-11, 11-17, 17-29","elliptic, obovate",entire,,,,,,No,"Yes, No",Showy / Colorful,purple,raceme,bilateral,1,pod,brown,"glabrous - matte, hairy",hairy,pinnate,yellow,,none of these features,hairless,,Yes,,
Bog,broadleaf shrub,Andromeda polifolia,bog rosemary,marsh andromeda,Ericaceae,WI,"Peat bogs, acidic lakeshores, fens, muskeg in small areas in NW WI.","Small erect or trailing evergreen shrub or subshrub of bogs, 5-75 cm (2-24"") tall, in the blueberry family.  Leaves alternate, linear and leathery, dark-green above and glaucous white below, on short petioles.  Flowers are delicate whitish-pink, nodding, and urn shaped. Fruit a brown 5-parted capsule.","May, June, July",Unknown,"Small shrub in bogs with alternate linear, rosemary-like leaves, urn-shaped pink or white flowers and dry capsules.",Bog laurel has opposite leaves and open saucer-shaped flowers.,Native,alternate,simple,"Upright, Mat-like or creeping",no thorns,linear,,,,revolute,entire,acute,,rounded,obtuse,No,"Yes, No",Showy / Colorful,"pink, white",cluster,radial,5,"papery capsule, leathery capsule","red, tan",glabrous - matte,whitish/waxy (glaucous),"reticulate, inconspicuous",unavailable,,none of these features,unavailable,,No,,
"Disturbed area, Forest, Prairie",broadleaf shrub,Aralia elata,Hercules-club,Japanese angelica tree,Araliaceae,Asia,"Potentially invasive exotic in southern WI only. Can be found in a variety of habitats including forest, open areas, disturbed sites and gardens.","Thicket forming multi-stemmed shrub or single-stemmed tree, up to 12 m (40') tall with a sprawling form. Bark covered in sharp thorns. Leaves large, even exceeding 1 m long (3') long, alternate and bipinnately or tripinnately compound with many leaflets that are toothed or entire. The leaflets are from 5-12 cm (2-4.75"") long. The main leaf veins extend to the leaf edge with spines along the rachis.
Many small white to cream colored flowers borne in a large, widely-branching inflorescence that can be 0.5m (12-24') long. Fruits small purple to black berries on pinkish-red pedicels. 
","July, August",Fruit is attractive to birds. Often used as an ornamental. ,Large bipinnate or tripinnate leaves and a large multistemmed inflorescence.,No similar plant in WI,Introduced - potentially invasive,alternate,bipinnately compound,Upright,smooth sharp thorns,,,>29,"elliptic, ovate",finely toothed,coarsely toothed,,,,,No,"Yes, No",Showy / Colorful,white or cream,panicle,radial,5,drupe,black,"glabrous - matte, hairy","glabrous - matte, hairy",rectipinnate,yellow,"red, purple",none of these features,unavailable,,"Yes, No",,
"Forest, Bog",forb/shrub/parasite,Arceuthobium pusillum,eastern dwarf mistletoe,,Santalaceae,WI,"Grows as a bushy parasite on branches on many conifers that grow in WI, including Abies balsamea (balsam fir), Larix laricina (American larch), Picea abies (common spruce), Picea glauca (white spruce), Picea mariana (black spruce), Picea pungens (blue spruce), Pinus banksiana (jack pine), Pinus resinosa (red pine), and Pinus strobus (eastern white pine).  One of the most widespread dwarf mistletoes in the U.S.  Found in the northern half of WI.","Shrubby parasite growing high in conifer trees.  May grow large in size and ultimately kill host. Tiny scale like leaves are opposite.  Flowers inconspicuous, with male and female plants separate.  Fruits green berries that dehisce explosively to release sticky seeds.  ",unavailable,None. Important pest on WI conifers.,Large bushy ball in live or dead conifer tree,None,Native,opposite,simple,Arboreal parasite,no thorns,scale-like,,,,unavailable,,unavailable,,unavailable,,No,"Yes, No",Inconspicuous / Green,,unavailable,,3,berry,green,unavailable,unavailable,unavailable,unavailable,,absent - leaf sessile,unavailable,,"No, Yes",unavailable,
Bog,broadleaf shrub,Arctostaphylos uva-ursi,bearberry,"kinnickinnick, red bearberry",Ericaceae,WI,"Moist; bogs; in rocky, sandy soil",Coming soon!,"May, June",Traditionally used for medicinal purposes by Indigenous groups.,Mat-forming shrub with spatula-shaped leaves that are mostly hairless. ,,Native,alternate,simple,Mat-like or creeping,no thorns,obovate,,,,entire,revolute,obtuse,rounded,acute,obtuse,No,"Yes, No",Showy / Colorful,"white or cream, pink",raceme,radial,5,drupe,red,"glabrous - matte, hairy","glabrous - matte, hairy",pinnate,red,,none of these features,hairy,fuzzy,Yes,,
"Bog, Wet area, Forest",broadleaf shrub,Aronia melanocarpa,black chokeberry,,Rosaceae,WI,"Found in wet substrates in bogs, swamps, and forest clearings. ",Coming soon!,"May, June, July",Ornamental,"Shrub with red, smooth twigs. Leaves have reddish glands along the main vein. Fruit is a blue-black berry.",Prunus spp. lack red glands along leaf midvein. ,Native,alternate,simple,"Upright, Sprawling or arching",no thorns,elliptic,"obovate, orbicular",,,finely toothed,,obtuse,"acuminate, rounded",acute,obtuse,No,"Yes, No",Showy / Colorful,"white or cream, pink",cyme,radial,5,"pome, berry","blue, purple-black","glabrous - matte, glabrous - glossy","glabrous - matte, hairy",pinnate,orange,"red, purple",none of these features,hairless,,Yes,,
"Disturbed area, Forest, Wet area, Prairie",broadleaf shrub,Berberis thunbergii,Japanese barberry,,Berberidaceae,Asia,Found along disturbed areas along roads and in thickets.,"perennial, spiny shrub to 8' with many branches, Leaves: mostly with smooth edges, Flowers: yellow, petals notched; solitary or in clusters (umbel-like) of 5-10 flowers",May,Often used for low hedges.,Spiny shrub with entire leaf margins and flowers single or clustered in groups of 2-4.,Berberis vulgaris,INVASIVE,alternate,simple,Upright,smooth sharp thorns,obovate,,,,entire,,"rounded, obtuse",obtuse,acute,"obtuse, rounded",No,"Yes, No",Showy / Colorful,"white, yellow","solitary, cluster",radial,6,berry,red,glabrous - matte,glabrous - matte,inconspicuous,yellow,orange,absent - leaf sessile,unavailable,,"Yes, No",,
"Disturbed area, Forest, Prairie",broadleaf shrub,Berberis vulgaris,Common barberry,European barberry,Berberidaceae,Eurasia,"Found on roadsides, other disturbed areas, and in open woods.",Coming soon!,"May, June",Ornamental. Edible fruit.,Spiny shrub with spines on leaf tips and flowers in groups of 10-20. ,Berberis thunbergii,Introduced - potentially invasive,alternate,simple,"Sprawling or arching, Upright",smooth sharp thorns,obovate,ovate,,,spiny,,rounded,obtuse,acute,,No,"Yes, No",Showy / Colorful,yellow,raceme,radial,6,berry,red,"glabrous - matte, hairy","glabrous - matte, hairy",inconspicuous,red,"orange, yellow",absent - leaf sessile,unavailable,,"Yes, No",,
"Forest, Disturbed area",broadleaf shrub,Caragana arborescens,pea-tree,Siberian pea-shrub,Fabaceae,"Eastern Russia, Northern China","Established in and along the margins of forests, savannas, and disturbed sites such as along roads.","Leguminose shrub or tree to 18' tall. New twigs are olive to brown in color and glossy, becoming darker gray with age. Leaves are pinnately compound with 8-12 leafles; alternate or whorled. Leaflets are up to 1"" long, elliptic, and bristle tipped; margins are entire. Young leaflets are hairy and become glabrous with age. Stipules are present (3/8"" long). 1-5 pea-like fowers are clustered in leaf axils, petals are yellow. A 5-lobed, tubular calyx surrounds the flower. Flowers have a scent. Fruit is a bean pod with 3 to 6 red-brown seeds. Pods mature from green to yellow to brown and are dehiscent. ","May, June",Ornamental value as hedging. ,"Shrub with compound leaves and up to 12 leaflets. Flowers are showy and yellow, and eventually become green, yellow, and brown bean pods. ",Other cultivated varieties of Caragana. ,Introduced - escaped,alternate,pinnately compound,Upright,no thorns,,,"7-11, 11-17",elliptic,entire,,,,,,"Yes, No","Yes, No",Showy / Colorful,yellow,"cluster, solitary",bilateral,5,pod,"brown, yellow","glabrous - matte, hairy","glabrous - matte, hairy",pinnate,yellow-green,,,hairless,,Yes,,
"Forest, Prairie",broadleaf shrub,Ceanothus americanus,New Jersey tea,red-root,Rhamnaceae,WI,"Found in forests, prairies, and barrens.","Ceanothus americanus is a shrub growing between 18–42 inches high, having many thin branches. Its root system is thick with fibrous root hairs close to the surface, but with stout, burlish, woody roots that reach deep into the earth—root systems may grow very  large in the wild, to compensate after repeated exposures to wildfires. White flowers grow in clumpy inflorescenses on lengthy, axillary peduncles. Fruits are dry, dehiscent, seed capsules","June, July, Aug",.,"Short shrub (1 m tall), alternate, simple, ovate leaves, 3 parallel veins, and inflorescence comes from leaf axils.","Caenothus herbaceus has elliptic, thinner leaves and flowers extend from ends of stems. ",Native,alternate,simple,Upright,no thorns,elliptic,ovate,,,finely toothed,,acuminate,"acute, obtuse",rounded,"acute, cordate",No,"Yes, No",Showy / Colorful,white or cream,"umbel, panicle, raceme",radial,5,capsule,purple-black,"hairy, fuzzy","hairy, fuzzy",3-veined or palmate,yellow,,none of these features,hairless,fuzzy,No,,
Prairie,broadleaf shrub,Ceanothus herbaceus,inland New Jersey tea,"Jersey tea, prairie red-root",Rhamnaceae,WI,"dry; prairies; in sandy, rocky soil",Coming soon!,"May, June","Tea from the roots used by native Americans to treat fevers, cough and sore throats. Roots have astringent, expectorant and antispasmodic properties and are used to treat bronchitis, asthma, and coughs. Leaves contain saponins that can be used to make soap and body washes.","Brushy shrub found in prairies and fields. Elliptic leaves <2 cm wide, panicles extend from ends of stems.","Caenothus americanus has ovate, wider leaves (>2 cm) and flowers extend from leaf axils. ",Native,alternate,simple,Upright,no thorns,lanceolate,"elliptic, ovate",,,finely toothed,,rounded,acute,rounded,acute,No,"Yes, No",Showy / Colorful,white or cream,"umbel, panicle",radial,5,capsule,black,"glabrous - glossy, hairy","glabrous - matte, hairy",3-veined or palmate,unavailable,,none of these features,hairless,,No,,
"Forest, Wet area","broadleaf tree, broadleaf shrub",Cephalanthus occidentalis,buttonbush,,Rubiaceae,WI,"Found in wetland habitats including swamps, floodplains, riparian zones, and moist forest understory.","A large shrub or small tree to 3 m (10') tall with opposite or whorled simple leaves.  The leaves are ovate to lanceolate, 7–18 cm (2.8–7.1"") long and 4–10 cm (1.6–3.9"") wide and entire. The unique inflorescence is a dense spherical head 2–3.5 cm (0.79–1.38"") in diameter holding many small white flowers. Each small flower has 4 fused petals forming a slender tube.  The pistils protrude from the flowers, giving the inflorescence a puffball or pin-cushion appearance. The fruit is a spherical cluster of achenes (nutlets), that often persist on the plant through winter.",unavailable,Hummingbirds and insects visit the flowers.  Wildlife eats the seeds.,Shrub in wet areas with glossy opposite leaves and white flowers in unmistakeable spherical heads.,Dogwoods (Cornus) have arcuate venation and flowers in branching cymes.,Native,"opposite, whorled",simple,Upright,no thorns,ovate,"lanceolate, elliptic",,,entire,,acute,acuminate,acute,,No,"Yes, No",Showy / Colorful,white or cream,head,radial,4,nut,"green, brown","glabrous - glossy, glabrous - matte",glabrous - matte,pinnate,red,orange,none of these features,hairless,hairy,No,unavailable,
Forest,broadleaf shrub,Chaenomeles speciosa,common flowering quince,,Rosaceae,China,Can be found in many different moisture conditions. Grows best in full sun. ,Coming soon!,April,Ornamental shrub whose fruit can be used to make jam and has medicinal use for anti-inflamation. ,Pink flowers bloom before the shrub leafs out completely. Fruits are yellow-green.,,Introduced - naturalized,alternate,simple,"Sprawling or arching, Upright","smooth sharp thorns, no thorns",elliptic,ovate,,,finely toothed,,acute,,acute,,No,"Yes, No",Showy / Colorful,"red, pink, white or cream","solitary, cluster",radial,5,pome,"yellow, green",glabrous - glossy,"glabrous - matte, hairy, glabrous - glossy",pinnate,unavailable,,none of these features,hairless,,Yes,,
"Wet area, Bog",broadleaf shrub,Chamaedaphne calyculata,leather-leaf,,Ericaceae,WI,"Wet areas such as bogs, lakeshores, and along streams.",Coming soon!,"April, May, June",Florists use leatherleaf as a long-lasting filler green in arrangements,Upright shrub with orange-red hairs on the underside of leaves and dense scales on the upper surface.,,Native,alternate,simple,Upright,no thorns,elliptic,,,,revolute,finely toothed,rounded,acute,rounded,acute,No,"Yes, No",Showy / Colorful,white or cream,raceme,radial,5,capsule,black,scurfy,hairy,"pinnate, inconspicuous",unavailable,,none of these features,hairy,fuzzy,Yes,,
"Forest, Disturbed area",broadleaf shrub,Comptonia peregrina,sweet-fern,,Myricaceae,WI,Found in dry and sandy soil on the northern half of Wisconsin.,Coming soon!,"May, June","Aromatic leaves can be made into tea, cold brewed and put on skin or burned for a natural insect repellant.  Several medicinal uses by native Americans have been documented.","Highly branched shrub with pinnately lobed leaves, looks like a fern.","Myrica gale has entire, obovate leaves and is found in wet areas.",Native,alternate,simple,"Upright, Sprawling or arching",no thorns,lobed,,,,rounded lobes,,acute,acuminate,rounded,obtuse,No,"Yes, No",Inconspicuous / Green,,catkin/cone,,,nut,brown,"glabrous - matte, hairy","glabrous - matte, hairy","pinnate, inconspicuous",brown,green,none of these features,hairless,,"Yes, No",,
Forest,"broadleaf tree, broadleaf shrub",Cornus alternifolia,alternate-leaved dogwood,pagoda dogwood,Cornaceae,WI,Understory species found throughout WI.,Coming soon!,"May, June, July",Ornamental,"Tall shrub with alternate, simple leaves and red-green twigs.",Other Cornus spp. have opposite or whorled leaves. ,Native,alternate,simple,Upright,no thorns,elliptic,ovate,,,entire,,acute,,rounded,,No,"Yes, No",Showy / Colorful,white or cream,cluster,radial,4,drupe,blue,glabrous - matte,hairy,arcuate,red,,none of these features,hairless,,No,,
"Forest, Wet area",broadleaf shrub,Cornus amomum,silky dogwood,blue-fruited dogwood,Cornaceae,WI,"Grows in moist lowland areas, lakeshores, streamsides, swamp borders, floodplains, shrub wetlands, and wet woodland edges, mostly in southern half of WI.","Shrub to 3 m (10 ft) tall, the older branches streaked with red and grey, twigs with brown pith.  Young twigs and leaves finely hairy, at least underneath. Leaves are opposite, entire, with arcuate venation having 4-6 lateral veins per side.  Leaves are 5-12 cm (2 - 4.5"") long and 2-5 cm (1-2"") wide, ovate to elliptic with an acute apex. Small creamy-white flowers have 4 petals and are produced in somewhat flat-topped 6-7 cm (2.5"") diameter cymes. Fruit is a round drupe, ripening from white to blue, 8 mm (1/3"") in diameter on a long stalk.","June, July","Can be used in hedges, rain gardens, and shoreline restorations. Fruit eaten by birds.","Opposite, entire leaves with arcuate venation, 4-6 lateral veins per side.  Blue berries.",,Native,opposite,simple,Upright,no thorns,elliptic,ovate,,,entire,,acute,acuminate,acute,rounded,No,"Yes, No",Showy / Colorful,white or cream,cyme,radial,4,berry,blue,"glabrous - matte, hairy",hairy,arcuate,unavailable,,none of these features,hairy,fuzzy,No,solid,brown
"Prairie, Wet area",broadleaf shrub,Cornus drummondii,northern roughleaf dogwood,"rough-leaved dogwood, Drummond's dogwood",Cornaceae,WI,"Glades, wet prairies, swamps, thickets. Uncommon, but may be overlooked.  Official records only in Dane, Crawford, and Milwaukee county in WI.",Coming soon!,"May, June",Ornamental,"Opposite, simple, entire leaves with arcuate venation and a rough texture",Other dogwoods lack the distinctly rough texture of the leaves. Red osier dogwood (C. sericea) has 5 to 8 pairs of lateral veins (vs 3 of 4). Grey dogwood (C. foemina) has appressed hairs on the lower leaf surface (vs spreading hairs).,Native,opposite,simple,Upright,no thorns,ovate,lanceolate,,,entire,,acute,acuminate,rounded,obtuse,No,"Yes, No",Showy / Colorful,white or cream,cyme,radial,4,berry,white,"rough, hairy",hairy,arcuate,red,purple,none of these features,hairy,hairless,No,solid,brown
