Common name,Scientific Name,Genus,Species,Family,Info Native or Introduced to WI,Info WI Status,Info Coefficient of Conservatism,Description,Description Quick ID,Description Medicinal uses,Description Edibility,Description Fun Facts,Description Look-Alikes,Description interactions in the prairie,Info Blooming Period,Info Soil Preference,Info Most Common Common Names,Flower color,Flower arrangement,Flower symmetry,Number Flower Parts,Flowering month,Leaf arrangement,Leaf type,Leaf shape,Leaf Margin,Petiole present,Leaf venation,Stem shape,Stem Texture,Plant Height,Growth Form,Distribution
Butterfly milkweed,Asclepias tuberosa,Asclepias,tuberosa,Milkweed (Asclepiadaceae),Native,,6,"Perhaps the showiest of the milkweed family, butterfly milkweed has long-lasting bright orange flowers.  The orange flowers distinguish it from other milkweeds in Wisconsin.  It also has alternative leaves and lacks a milky sap, two characteristics that make it fairly unique among our other milkweeds.  It gets its name because of the butterflies that are attracted to the plant by its color and its copious production of nectar.  The thick and bitter-tasting roots were used for various medicinal purposes in the past, including the treatment of pleurisy. As a result, another common name for this species is pleurisy root.","Usually growing 1-3 feet tall, butterfly milkweed’s orange flowers, alternating leaves and lack of milky sap (when leaf or stem is broken), set it apart from most other milkweeds.  The leaves are spirally arranged, lanceolate, 5–12 cm long, and 2–3 cm broad.  This plant favors dry, sand or gravel soil, but has also been reported on stream margins. It requires full sun.","Butterfly milkweed was one of the most important medicine plants for the Great Lakes Native Americans. 
Sometimes called pleurisy root for its use as a pulmonary aid.  It was used for flatulence, headaches, stomach trouble, bronchitis, asthma, pneumonia, dry colds, indigestion, wet coughs, abdominal pain, diarrhea, inflammation of the pleural cavity, rheumatic pains, skin affections, cuts bruises and many other ailments.  Causes urination and sweating.
","Hazardous.  It is possible to fix the toxic alkaloids by plunging into boiling water, draining the water and repeating a few times.  That takes the bitterness away and presumably makes the herb save to eat; although due to potential residual poison I would not recommend trying this.","The Cherokee used fibers from the stem to make belts.
This is a favorite plant of monarch butterflies to lay their eggs on. 
The species name tuberosa refers to the knobby shape of the root.
All parts of butterfly milkweed contain cardiac glycosides, group of toxic compounds that can induce stupor, weakness, vomiting and spasms when they are consumed in large quantities.
","Compared to other milkweeds, butterfly milkweed has leaves that are somewhat hairy, spiral up the stem of the plant, and don’t exude a white sap when broken. ","The flower nectar attracts a large variety of bees, wasps, and butterflies.  The ruby-throated hummingbird is also attracted to the flowers. Many insects, including rare butterfly larvae, feed on the leaves, flowers, buds, seedpods, and other parts of the plant. While the foliage of butterfly milkweed lacks the toxic milky latex that is typical of other milkweeds, mammalian herbivores nonetheless appear to avoid it.",July-Sept,Mesic to Dry,"butterfly milkweed, butterfly-weed, orange milkweed",orange,umbel,radial,5,"Jul, Aug, Sept",alternate,simple,"elliptic, oblong",entire,yes,branched,round,"hairy, fuzzy","69, 20",upright branching,singular
Canada milk vetch,Astragalus canadensis,Astragalus,canadensis,"Bean, Pea (Fabaceae)",Native,,8,"A member of the pea family, Canada milk vetch makes a great ornamental plant and is adaptable to many types of soil conditions.  As a legume, it aids in fixing nitrogen into the soil and also provides erosion control.  Its seed is an important food source for Acanthoscelides aureolus, a tiny weevil that is at the beginning of a long prairie food chain. ",The leaves are divided into 11-35 oblong leaflets.  Each leaflet up to 3 centimeters in length.  Its creamy white flowers give rise to 2-chambered seed pods crowded along erect branches.,"Milkvetch is somewhat toxic, but it has been used medicinally by Native American groups such as the Blackfoot and Lakota people, particularly the roots.  Tea of the root used by the Dakotas as a cooling treatment for children.  The root was chewed or made into tea to stop the spitting up of blood.","Hazardous.  Can be eaten, particularly the root, but does contain toxic alkaloids. ","The beanlike fruits within the pods make for good rattles when dry.
The plant is found throughout Canada, hence the common name. 
","Compared to crown vetch (Securigera varia), Canada milkvetch has more reddish stems, nodes with shealth-like structures and few but somewhat long white hairs on the leaf surface. 
Compared to similar vetches, Canada milkvetch is more erect (not vine-like) and lacking tendrils.  
Compared to other vetches which have one or two sided racemes with fewer flowers, the raceme of Canada Milkvetch is whorled with about 75 flowers.
","Primarily bumblebees visit the flowers for nectar. Other long-tongued bee visitors enjoy the flowers as well. Insects with shorter mouthparts have trouble reaching the nectar, nor is the pollen easy to access. Unlike many milkvetches of the Western states, the foliage of Canada milkvetch is non-toxic and palatable to mammalian herbivores, including deer, groundhogs, rabbits, and livestock. This plant may be difficult to establish where these animals occur in abundance. The seeds may be eaten occasionally by the turkey and other upland gamebirds, as well as small rodents, such as the Thirteen-Lined Ground Squirrel; however, such observations are confined largely to the Western states, where the plant is more abundant. ",July-Aug,Wet-mesic to Dry-mesic,Canadian milk-vetch,yellow,spike,bilateral,"3,5","Jul, Aug",alternate,pinnate,"divided, oblong",entire,yes,branched,"ridged, round","hairless, fuzzy, hairy","84, 30","upright no/few branches, upright branching","singular, bunches"
White wild indigo,Baptisia lactea,Baptisia,lactea,"Bean, Pea (Fabaceae)",Native,,8,"White wild indigo is a shrubby looking plant that resembles a miniature version of the umbrella trees of Africa.  A member of the pea family, it has large swollen seed pods that turn black and sit above the plant on erect stalks near the end of the growing season.  Break open a pod and you’ll probably found the native wild indigo weevil that makes this plant its home. ",The trifoliate leaves are greyish-bluish-green and have no hairs.  Early growth in the spring resembles asparagus. ,"Used to treat swelling, rheumatism, sores, wounds, hemorrhoids and rattlesnake bites.  ",Hazardous ,"Used to produce dye. The botanical name Baptisia originates from the Greek word bapto, to dip or to dye.""","Compared to B. bracteata which grows low to the ground and has dropping flower stalks and seed pods, B. alba stands taller and has erect flower stalks. 
Compare to B. bracteata which generally has fatter seed pods that have a long terminal beak, B. alba has come condensed pods without a beak or tail.   
Compared to B. bracteata which often has large bracts at the base of the leaflets giving the appearance that the leaf has five leaflets, B. alba typically has just 3 leaflets without bracts.
","Pollinated by worker bee caste.  The caterpillars of some skippers and butterflies occasionally feed on the foliage, including wild indigo duskywing), hoary Edge, southern dogface), and orange sulfur. The caterpillars of the black-spotted prominent moth can also be found on the foliage. The wild indigo weevil feeds on this plant. The adult weevils eat both the leaves and flowers, while their grubs stay in the pods and eat the seeds. Because wild indigo is poisonous, it is not much bothered by mammalian herbivores. If cattle, horses, or other kinds of livestock consume sufficient quantities of this plant, they can be seriously poisoned.",June-July,Wet-mesic to Dry,"large-leaved wild indigo, milky white indigo, white wild indigo",white,"spike, raceme",bilateral,"3,5","Jun, Jul",alternate,"trifoliate, palmate","divided, elliptic, oblong",entire,no,branched,round,hairless,"91, 28",upright branching,singular
Cream wild indigo,Baptisia leucophaea,Baptisia,leucophaea,"Bean, Pea (Fabaceae)",Native,,7,"This is one of the earliest plants to bloom in the prairie, and it is quite showy and attractive.  Looks for Baptisia weevils near the seed pods.  The weevils lay their eggs and push them inside the pod with a long snout.  Some weevils eat exit holes, some exit when they split, some overwinter.  Weevils can hasten seed germination by slightly gnawing the tough seed coat.   Don’t confuse the early spring growth for asparagus as Baptisia can be quite poisonous. ",Cream wild indigo is a short-growing bush-like plant.  It is generally hairy with beautiful pea flowers (May-June) and large swollen seed pods (July-Oct) that come to a long point.,"Baptisia species were important medicine plants for Native Americans.  They were used to treat cuts and fevers. Research shows extracts may stimulate immune system.  The seeds were ground, mixed with buffalo fat, and rubbed on the stomach as an ointment for colic or abdomen pain. The Osage tribe made a part of the plant into an eyewash.  ",Hazardous ,"Indigos disperse seeds in a tumbleweed manner when the stem breaks off and goes rolling across the prairie. 
Young boys used the plant as a rattle during dances.
The botanical name Baptisia originates from the Greek word bapto, to dip or to dye.
Injured plants (which turn black) were used to make dye.
The showy black seed pods are attractive in dried flower arrangements.
","Compared to white wild indigo (B. alba) which has erect racemes of flowers, cream wild indigo grows low, in a sprawling form close to the ground and has a falling raceme of flowers/seed pods.  
Compared to white wild indigo, cream wild indigo
Compared to white wild indigo, cream wild indigo has seeds pods that are generally fatter and have a long terminal beak.
Compared to white wild indigo, cream wild indigo often has large bracts at the base of the leaflets giving the appearance that the leaf has five leaflets (instead of 3).
Compared to white wild indigo, cream wild indigo blooms earlier
Compared to yellow wild indigo (Baptisia tinctoria), cream wild indigo has fuzzy leaves that are larger and larger flowers and stems. 
","This plant is cross-pollinated primarily by queen bumblebees after they emerge from hibernation during the spring. Worker bumblebees appear somewhat later. Long-tongued bees have also been observed to visit the. These insects usually seek nectar from the flowers, although they sometimes collect pollen. Other insects including many moth and butterfly larvae feed on the leaves, seeds, and other parts of cream wild indigo and other Baptisia species.  Another insect feeder is the wild indigo weevil; the adults feed destructively on the flowers and leaves, while the larvae feed on the seeds. Other insects that use Cream Wild Indigo are leaf beetles and grasshoppers. Cream Wild Indigo is not normally bothered by mammalian herbivores because its foliage is toxic. When horses and cattle eat sufficient quantities of this plant, as well as other Baptisia spp. that may be present, they can become seriously poisoned. Because it is not tasty to livestock, this plant often remains in grazing fields. ",May-June,Mesic to Dry,"cream wild indigo, long-bracted wild indigo, plains wild indigo",yellow,raceme,bilateral,"3,5","May, Jun",alternate,"trifoliate, palmate","divided, lanceolate, oblong",entire,no,branched,round,"hairy, fuzzy","48, 18","upright branching, sprawling",singular
Yellow wild indigo,Baptisia tinctoria,Baptisia,tinctoria,"Bean, Pea (Fabaceae)",Native,Special Concern,10,Yellow wild indigo is a bushy plant that resembles a tiny two foot tall tree with yellow flowers.  The plant has not been seen in Wisconsin in recent history and is likely extirpated from the state.  It is speculated that the plant might have not occurred this far north and was brought (intentionally or not) by Native Americans traveling from Illinois and Missouri. ,"It features small, bright yellow to cream, pea-like flowers (to 1/2"" long) in numerous, sparsely-flowered clusters (terminal racemes to 4-5"") on stems extending above a foliage mound of stalkless, clover-like, trifoliate, gray-green leaves (leaflets to 1"" long). 
Blooms in late spring to early summer. Flowers give way to small inflated seed pods which turn black when ripe and have some ornamental interest. Seeds rattle around in the pods when ripe, thus giving rise to the sometimes common name of rattleweed for this species. 
","Baptisia species were important medicine plants for Native Americans.  They were used to treat cuts and fevers. Research shows extracts may stimulate immune system.  The seeds were ground, mixed with buffalo fat, and rubbed on the stomach as an ointment for colic or abdomen pain. The Osage tribe made a part of the plant into an eyewash.  ",Hazardous ,"Baptisia comes from the Greek word for dye and tinctoria comes from the Latin word for dye, which redundantly alludes to its historical use as a dye plant.  Settlers and Native Americns used it as a substitute, for true indigo (genus Indigofera).""
Once the seed pods have dried, the plant makes for a magnificent rattling instrument. 
","Compared to other wild indigo species, yellow wild indigo has much smaller leaves, flowers and seed pods.",Attracts bees and butterflies,June-July,Wet-mesic to Dry,"horsefly-weed, rattleweed, yellow wild indigo",yellow,"spike, raceme",bilateral,"3,5","Jun, Jul",alternate,trifoliate,"divided, spatulate",entire,no,branched,round,hairless,"41, 15",upright branching,singular
Garden yellow-rocket,Barbarea vulgaris,Barbarea,vulgaris,Mustard (Brassicaceae),Introduced,naturalized,0,"Garden yellowrocket is a weedy biennial plant found in many fields and gardens.  The bright yellow flowers are quite showy when in full bloom.  The stem is branching and grows to be 1-2.5"" tall. The smooth stem is ribbed.  The leaves are clasping.  First year basal leaves are feather-like and on long stalks.  The upper leaves are alternate, toothed and mostly sessile.  Flowers are crowded at the end of long stems above the plant.",The leaves alternate and have wavy and toothed margins.  The basal leaves are 2-9 inches with one large terminal lobe that has a heart-shaped base. The leaves are smaller and less lobed toward the top of the plant.  Stems are smooth and ridged.  The siliques have peaks at the tip.  ,"Potentially possesses anti-carcinogenic properties. Had been used as a blood purifier, to treat wounds, and as an appetite stimulator. ","Can be hazardous.  The basal leaves are reportedly edible during the early spring, but they later become bitter. Can be cooked in two waters to remove bitterness and eaten as salad or pot herb
The leaves are highly nutritious sources of B vitamins, calcium, potassium, and fiber. Unlike many plants, the flowers are a good source of protein. The flower buds are edible when they look like broccoli.  Flowers are edible as well. 
",Basal leaves typically stay green and alive through the winter. ,"Compared to American yellow rocket (Barbarea orthoceras) which has smaller flowers (0.25"""") that occur on bat-like stalks, yellow rocket has larger flowers (0.5"""").
Compared to American yellow rocket which has at least some stem leaves having a fringe of hairs around the auricles, garden yellow rocket’s auricles are all hairless.
Compared to Charlock mustard (Sinapis arvensis) which has a 4-sided seed pod with a pointed tip that is often half as long as the body, yellow rocket has a seed pod that is roundish in cross section. 
Compared to black mustard (Brassica nigra) which has leaves that are not clasping, yellow rocket has leaves that clasp the stem. 
Compared to field mustard (Brassica rapa) which has 
Compared to many mustards (Brassica spp.) which bloom later and have fruits (siliques) that have long beaks, yellow rocket has siliques that have short beaks. 
","The nectar and pollen of the flowers attract small bees and flies primarily. Occasionally, the Cabbage White and other White butterflies can be observed sucking nectar from the flowers. The caterpillars of some butterflies and moths feed on the foliage or flowers. Several leaf beetles feed on Yellow Rocket. Another insect that feeds on this plant is the stinkbug Holcostethus limbolarius. The seeds are a minor source of food to the Mourning Dove, while the foliage is eaten by cattle and sheep.",April-June,Wet to Mesic,"garden yellow-rocket, winter-cress, yellow-rocket",yellow,"raceme, corymb",radial,4,"Apr, May, Jun",alternate,simple,spatulate,"entire, coarsely toothed",no,branched,ridged,hairless,"43, 25",upright no/few branches,"bunches, singular"
Black mustard,Brassica nigra,Brassica,nigra,Mustard (Brassicaceae),Introduced,naturalized,0,"One of the common mustard plants that thrives in disturbed soil, black mustard can grow to 8' tall. The leaves are hairy and the plant has a strong horseradish-like flavor.",Grows to be 3-8 feet tall.  The stems have rough hairs at the base but few or no hairs toward the top. The leaves are on stalks that are not clasping the stem.  The seed pods are 4-angled. ,"Ground seeds are often mixed with honey and used as a cough suppressant.  Used to treat respiratory infections by mixing ground mustard seeds with flour and water, and creating a cataplasm with the paste. This cataplasm was put on the chest or the back and left until the person felt a stinging sensation.","The seeds can be powdered and used as mustard.  The leaves are flavorful in salad.
Has been cultivated in Asia and Europe for thousands of years.  Is used for cooking oil.
","Since the 1950s, black mustard has become less popular as compared to India mustard because some cultivars of India mustard have seeds that can be mechanically harvested in a more efficient manner.","Compared to field mustard (B. rapa), black mustard has leaves with stalks on the upper and lower parts of the stem. 
Compared to field mustard which has open flowers that are not below buds, Brassica nigra has early flowers that open with buds above them.
Compared to similar mustards (Brassica spp.), black mustard has upper leaves with stalks that are not clasping the stem, siliques that are held tightly together near the stalk of the plant, lower leaves with terminal lobes that are much larger than the lateral lobes, and is often taller. 
Compared to brown mustard (B. juncea) which has seed pods that are 0.5-1.25 inches long that are mostly round, black mustard's pods are less than 1 inch and 4-angled. 
",The nectar and pollen of the flowers attract primarily small bees and flower flies. The foliage is occasionally eaten by the caterpillars of various white butterflies.  The pungent foliage is usually avoided by mammalian herbivores; it is somewhat toxic to them.,June-Sept,Wet to Dry-mesic,black mustard,yellow,raceme,radial,4,"Jun, Jul, Aug, Sept",alternate,simple,"oblong, obovate","entire, coarsely toothed",no,branched,"round, ridged","hairy, hairless","135, 56",upright branching,singular
False boneset,Brickellia eupatorioides,Brickellia,eupatorioides,"Aster, Daisy (Asteraceae)",Native,,5,"Though the flowers of false boneset are similar to plants in the boneset family, the leaves are generally quite different.  It can be found in mesic sites but prefers drier prairies.  An older scientific name for False Boneset is Kuhnia eupatorioides.",The flowers tend to be tan unlike the white flowers of true bonesets.  There are many varieties of this species. ,Native Americans of the Great Plains used K. eupatorioides as a poultice to reduce swelling. ,It’s very bitter taste precluded any use as a food source.,"The taproot of this plant can grow 15 feet deep. 
 False boneset has tan-colored flowers whereas tall boneset has whitish flowers but the seeds are the opposite.  False boneset has gray seeds whereas tall boneset has tan seeds.
","Compared to tall boneset (E. altissimum) which has opposite leaves that have three conspicuous veins, false boneset has alternate leaves along its stems with only one conspicuous vein.  ","Attracts many visitors including bees, butterflies, skippers. The caterpillars of some flower moths feed on the flower heads and developing seeds. Grasshoppers also feed on the tissue.  Mammalian herbivores browse on False Boneset occasionally when little else is available, but its foliage is bitter and overall food value is low. ",Aug-Oct,Dry-mesic to Dry,false boneset,yellow,panicle,bilateral,more,"Aug, Sept, Oct",alternate,simple,"linear, lanceolate, lobed","coarsely toothed, entire","yes, no",branched,"round, ridged","hairless, fuzzy","74, 33","upright no/few branches, upright branching","bunches, singular"
Hedge bindweed,Calystegia sepium,Calystegia,sepium,Morning-glory (Convolvulaceae),Native,,2,"Hedge bindweed is a troublesome invasive weed. The extensive vining stems can engulf and strangle other plants. It thrives in fields, roadsides, and disturbed areas","This twining vine creeps along the ground and climbs other vegetation, twining in a counter-clockwise direction.  The flowers are large, white to pink, and trumpet-shaped. The triangular leaves have 2 squarish lobes at the base and alternate along the vine.",Hazardous.  Has been uses to reduce inflammation of mucous membranes and reduce fevers.  Can cause constipation.  ,Hazardous. ,Often seen climbing on fences. ,"Compared to low false bindweed (C. spithamaea) which has oblong leaves with stalks less than half as long as the midvein of the leaf, hedge bindweed has triangular leaf stalks that are more than half as long as the leaf midvein.  
Compared to field bindweed (C. arvensis) which has flowers that are 0.5-1"""" long with shallowly-lobed petals and small bracts well below the sepal, hedge bindweed's flower bracts are just below the sepals. 
Compared to field bindweed, hedge bindweed has larger flowers. 
Compared to ivy-leaved morning glory (Ipomoea hederacea) which has unequal sepals, hedge bindweed has mostly equal sepals.
","Long-tongued bees are the primary pollinators of the flowers.  It is likely that day-flying Sphinx moths visit the flowers during the morning. These insects obtain primarily nectar from the flowers. Several species of tortoise beetles feed on the foliage of Hedge Bindweed and similar species in the Bindweed family.  Mammalian herbivores tend to ignore this plant when other food sources are available as the foliage is toxic. To a limited extent, the Bobwhite Quail and Ring-Necked Pheasant eat the seeds.",June-Sept,Mesic to Wet,"hedge bindweed, hedge false bindweed","white, pink",solitary,radial,5,"Jun, Jul, Aug, Sept",alternate,simple,"ovate, lanceolate, cordiform",entire,yes,branched,round,hairless,"81, 81","sprawling, upright singular","singular, patches"
"Harebell, Bellflower",Campanula rotundifolia,Campanula,rotundifolia,Bellflower (Campanulaceae),Native,,5,Harebell has bell-shaped purple flowers on very thin slightly branching stems. This delicate little native has perhaps the longest blooming period of any other prairie plant.  The nodding blue flowers can be found from late spring into the fall. The heart-shaped basal leaves grow in the spring and wither before the flowers mature.  ,"The basal leaves are rounded to heart-shaped, usually slightly toothed, and often wither early.  The leaves on flowering stems are long and thin and the upper ones are unstemmed.
Flowers have five violet-blue, pink, or white petals fused together into a bell shape, about 15 mm (0.6 in) long and five long, pointed green sepals behind them. The petal lobes are triangular and curve outwards. They bloom on long thin stems either singly or in loose clusters from late spring to autumn.
",The root has been chewed in the treatment of heart and lung problems. An infusion of the roots has been used as ear drops for a sore ear. A decoction of the plant has been drunk or used as a wash in the treatment of sore eyes.,"Some say the leaves of this plant are edible and can be used in a salad, smoothies and homemade dips.","An old name for this plant in Scotland was Witched Thimble due to old folklore. 
The genus name, from the Latin campana (bell), means little bell.
","Compared to marsh bellflower (C. aparinoides) which has smaller flowers and is found in wetland areas, harebell is typically found in dry sites and has larger flowers. 
Compared to creeping bellflower (C. rapunculoides) which has broader foliage and larger flowers, harebell is generally more petite with thinner leaves and smaller flowers.
","The flowers are pollinated by bees, but can self-pollinate.
Bees often visit the flowers where they seek nectar. While the foliage is potentially edible to mammalian herbivores, only the basal leaves are sufficiently large to attract much attention from them. The seeds are too small to be of interest to birds.
",June-Oct,Dry-mesic to Dry,"bluebell, bluebell bellflower, harebell, bluebell-of-Scotland, roundleaf harebell","blue, purple","solitary, raceme",radial,5,"Jun, Jul, Aug, Sept, Oct","basal, alternate",simple,"linear, ovate","entire, toothed",yes,branched,round,hairless,"33, 13","upright branching, upright no/few branches","singular, bunches"
Shepherd's purse,Capsella bursa-pastoris,Capsella,bursa-pastoris,Mustard (Brassicaceae),Introduced,naturalized,0,"A very common garden weed, Shepherd's Purse is an easy plant to identify among members of the Mustard family because of the distinctive shape of its seedpods. This shape resembles the leather purse of shepherds during the Middle Ages. ","Shepherd's purse has steam leaves that are arrow-shaped and clasping the stem.  The basal leaves are deeply loped or sometimes divided.  The pod is triangular or arrow-shaped, setting it apart from similar species.  Sometimes the basal leaves are deeply lobed, while on other occasions they are shallowly lobed.","Juice of plant was squeezed onto cotton ball and applied to nostril to stop nosebleeds,  Was used to increase urine and menstrual flow.  Was used to treat headache, dysentery, and as a poison ivy remedy.","Young leaves can be added to salads or prepared like spinach.  The dried seed pods can be used as pepper-like seasoning.  In rare cases, seeds have been known to cause blistering","This shape resembles the leather purse of shepherds during the Middle Ages.  
Like a number of other plants in several plant families, its seeds contain a substance known as mucilage, a condition known as  myxospermy. The adaptive value of myxospermy is unknown, although the fact that mucilage becomes sticky when wet has led some to propose that C. bursa-pastoris traps insects which then provide nutrients to the seedling, which would make it protocarnivorous.
",The pod is distinctively triangular or heart-shaped.,"The nectar and pollen of the flowers attract many bees and flies. Less often, small butterflies and skippers suck nectar from the flowers. The caterpillars of the Falcate Orangetip and Checkered White butterflies feed primarily on Shepherd's Purse. Other insect feeders include various beetles such as turnip beetles and stink bugs. White-tailed Deer browse the leaves and flowering stalks consuming vegetation and seeds that readily pass through the digestive tract and spread to new areas. The Eastern Goldfinch sometimes eats the seeds, while the Prairie Vole also feeds on the leaves.",April-Aug,Wet-mesic to Dry,shepherd's-purse,white,raceme,radial,4,"Apr, May, Jun, Jul, Aug",basal,simple,lobed,lobed,no,branched,round,"hairless, fuzzy, hairy","43, 20",upright no/few branches,"singular, bunches"
New Jersey tea,Ceanothus americanus,Ceanothus,americanus,Buckthorn (Rhamnaceae),Native,,9,One of the few woody shrubs common to the tallgrass prairie. This little shrub has a lot going for it from both horticultural and ecological perspectives. ,New Jersey tea has egg-shaped leaves that are rounded at the base.  Leaves have 3 main veins and very small teeth.  The stem is greenish-brown and becomes darker brown and flaky with age.,"New Jersey Tea was as used by some physicians as a stimulant of mucous surfaces, an expectorant (promoting discharge of phlegm from respiratory tract), a mild antiseptic, along with for treating indigestion, syphilis, scrofula, and ovarian and uterine irregularities. The root was also used to treat snake bites, lung hemorrhaging and bowel troubles; prepared by boiling 5"" of root in one quart of water--this was considered one swallow.  During American Indian bison hunts, the roots were used to provide energy to the hunters.",Leaves and branches can be boiled to make a delightful tea.,"Tribes of the Great Lakes Bioregion ascribed great powers to the plant and called it ""kikuki manito"", which means ""spotted snake spirit"". 
The root systems may grow very large in the wild, to compensate after repeated exposures to wildfires. 
It was used by colonists during the Revolutionary War as a substitute for tea (hence the common name), even though the leaves contain no caffeine. 
Early pioneers discovered that the stout roots of New Jersey Tea were a formidable barrier to the plow. 
Chemical compounds from this plant have been found to affect the speed of blood coagulation, and they have been found to have antimicrobial properties on oral pathogens.
","Compared to prairie redroot (C. herbaceous) which has closely spaced umbels, New Jersey tea has separated umbels.  
Compared to prairie redroot which has umbels that emerge from the ends of new leafs on stalks less than 2"""" long, New Jersey tea umbels emerge from the leaf axils on stalks up to 8"""" long.
Compared to prairie redroot, New Jersey tea
Compared to prairie redroot leaves that are mostly oblong to elliptical and less than half as wide as long, New Jersey tea leaves are narrowly elliptical and usually half as wide as long.
Compared to prairie redroot which tends toward drier soils, New Jersey tea thrives in dry to moderate moisture prairies.
","The nectar and pollen of the flowers attract a variety of insects, especially bees, wasps, flies, and beetles. Hairstreak butterflies also visit the flowers. Other insects feed destructively on the foliage, seeds, and other parts of New Jersey Tea. These species include stem-boring larvae of a long-horned beetle, leaf beetles, seed-eating broad-headed bugs, and the Angulate Tingid. In addition, the larvae of several moths feed on New Jersey Tea, including the Broad-lined Erastria, Sulfur Moth, and Red-fronted Emerald.",June-Aug,Mesic to Dry,"New Jersey tea, red-root",white,"umbel, panicle, raceme",radial,5,"Jun, Jul, Aug",alternate,simple,"elliptic, ovate",finely toothed,yes,branched,round,"hairless, fuzzy","71, 28",upright branching,bunches
mouse-ear chickweed,Cerastium fontanum,Cerastium,fontanum,Pink (Caryophyllaceae),Introduced,naturalized,0,This adaptable weed is probably the most common mouse-eared chickweed in the Midwest. ,"A creeping weed common to anywhere that soils have been disturbed, mouse-ear chickweed has tear-shaped opposite leaves.  The plant is generally hairy.  Mouse-ear chickweed has tear-shaped leaves growing opposite one another in a star pattern, hairy leaves, and small white flowers. Mouse-ear chickweed typically grows to 4""""-8"""" tall vertically and spreads horizontally along the ground.  Compared to the similar chickweeds, mouse-ear chickweed usually have more pubescent leaves and their flowers have 5 styles, rather than 3.",The Cherokee used an infusion of stem and root to treat children with worms. Also used for skin sores and ulcers.,Leaves can be cooked or eaten raw. Stems can be cooked. ,"Having a range throughout most temperate and subarctic regions of the earth, Common Mouse-Eared Chickweed is one of the most widespread plants in the world.","Compared to field chickweed (C. arvense) which has petals that are 2-3 times longer than the sepals mouse-ear chickweed has petals that are deeply 2-lobed and mostly as long as the sepals. 
Compared to nodding chickweed (C. nutans) which is generally softer and leafier than the non-natives, mouse-ear chickweed is less leafy.  
Compared to nodding chickweed which has sticky hairs, mouse-ear chickweed lacks sticky hairs. 
Compared to common chickweed (Stellaria media) which has triangular leaves that become stalkless further up the plant, mouse-ear chickweed has tear-shaped leaves. 
","The flowers of Common Mouse-Ear Chickweed attract various bees and flies; these insects suck nectar primarily, although some Syrphid flies feed on the pollen and some of the smaller bees collect pollen for their larvae. The caterpillars of several moths primarily feed on the foliage of Chickweeds. Sparrows and other small granivorous songbirds eat the seeds of Chickweeds. ",May-Sept,Mesic to Dry,common mouse-ear chickweed,white,"cyme, panicle, solitary",radial,5,"May, Jun, Jul, Aug, Sept, Oct",opposite,simple,"lanceolate, ovate",entire,no,"parallel, branched",square,hairless,"15, 15","upright branching, upright no/few branches, sprawling","bunches, singular"
Nodding chickweed,Cerastium nutans,Cerastium,nutans,Pink (Caryophyllaceae),Native,,0,This floppy little plant might be confused as a weedy non-native but it is native to North America.  ,"The pedicels of its flowers are long (1"""") and divergent, while its flower buds and seed capsules nod downward and its leaves are more long and narrow than other chickweeds.  Nodding Chickweed can be distinguished from other chickweeds by the shape of its leaves, diffuse inflorescence, and structure of its flowers. In particular, the pedicels of its flowers are rather long (1"""" in length or more) and divergent, while its flower buds and seed capsules nod downward. ",Used to treat skin sores and ulcers.,Leaves can be cooked or eaten raw. Stems can be cooked. ,,"Compared to nonnative chickweeds, nodding chickweed is softer and leafier.  
Compared to other chickweeds, nodding chickweed has sticky hairs.
Compared to other chickweeds, nodding chickweed generally has more long and narrow leaves.
","The flowers are cross-pollinated by numerous bees and flies. Both nectar and pollen are available as floral rewards. The caterpillars and cutworms of various moths are known to feed on chickweeds. Vertebrate animals also feed on these plants to some extent. Various sparrows and other granivorous songbirds eat the seeds, while deer, rabbits, and domesticated farm animals (cattle, horses, sheep, & pigs) occasionally browse on the foliage.",April-July,Mesic to Dry-mesic,nodding mouse-ear chickweed,white,"cyme, panicle, solitary",radial,5,"Apr, May, Jun, Jul",opposite,simple,linear,entire,no,"parallel, branched",round,hairy,"38, 38","upright branching, upright no/few branches, sprawling",bunches
